query,lat,lon,lat_min,lat_max,lon_min,lon_max
Fruitvale Av and MacArthur Blvd (51264) Oakland,37.7998818,-122.2162777,37.7998318,37.7999318,-122.2163277,-122.2162277
Broadway CA USA,37.5871842,-122.3619067,37.5871342,37.5872342,-122.3619567,-122.3618567
73rd Avenue and Telegraph Oakland,NA,NA,NA,NA,NA,NA
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
Hesperian Blvd and Cathy Way (54325) Hayward,37.6394051,-122.101741,37.6393551,37.6394551,-122.101791,-122.101691
N/A CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
Santa Clara Av and Harrison St (54558) Oakland,37.8197146,-122.2539479,37.8196646,37.8197646,-122.2539979,-122.2538979
Martin Luther King Jr Way and Hearst Av (57663) Berkeley,NA,NA,NA,NA,NA,NA
West 8th st Hayward,NA,NA,NA,NA,NA,NA
n/a CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
1550 Hopkins CA USA,33.5455918,-117.6470203,33.5455918,33.5458863,-117.6471447,-117.6470203
MacArthur Blvd and 64th Av (50155) Oakland,37.7736917,-122.1795115,37.7736417,37.7737417,-122.1795615,-122.1794615
62nd&amp;Market CA USA,40.626472,-73.996895,40.621472,40.631472,-74.001895,-73.991895
Warm Springs BART CA USA,37.5016091,-121.9368809,37.5013649,37.5018328,-121.9375062,-121.9362123
35th Ave & MacArthur Blvd Oakland,40.767449,-73.780109,40.7671671,40.767955,-73.7811005,-73.778337
Fruitvale Bart Oakland,37.7757945,-122.2254889,37.7757445,37.7758445,-122.2255389,-122.2254389
International Blvd and 98th Av (55572) Oakland,37.7440343,-122.1704541,37.7439843,37.7440843,-122.1705041,-122.1704041
na CA USA,33.7808206,-117.881209,33.778973,33.7840133,-117.8854661,-117.8767426
Spruce St & Grizzly Peak Blvd (56377) Berkeley,61.1600702,-149.819287,61.1570309,61.162776,-149.8193184,-149.8192623
n/a CA USA,34.2727885,-119.2609533,34.2727385,34.2728385,-119.2610033,-119.2609033
11th St and Franklin St (53334) Oakland,37.8015436,-122.2708682,37.8014936,37.8015936,-122.2709182,-122.2708182
San Leandro St and Coliseum BART Walkway (59599) Oakland,NA,NA,NA,NA,NA,NA
NA NA,44.5349559,4.0038687,44.5349059,44.5350059,4.0038187,4.0039187
